step,layer,status,reason,before_channels,after_channels,removed_channels,taylor_cost,parameters,gmacs,step_gmac_saved,total_compute_reduction,score_per_gmac
1,model.8.m.0.m.0.cv2.conv,feasible,,128,120,8,0.06556762702894048,9417744,10.782656,0.01640320000000095,0.0015189471319873027,3.997246087893623
1,model.8.m.0.m.1.cv1.conv,feasible,,128,120,8,0.05229842906919657,9440304,10.79168,0.007379200000000807,0.0006833187839178079,7.087276272386011
1,model.8.m.0.m.1.cv2.conv,feasible,,128,120,8,0.05882801012558048,9417744,10.782656,0.01640320000000095,0.0015189471319873027,3.5863740078507282
1,model.9.cv1.conv,feasible,,256,248,8,0.08739875936225872,9438256,10.7908512,0.008207999999999771,0.0007600662102120737,10.647996998326164
1,model.9.cv2.conv,rejected,ValueError: protect_stem_attention_DFL:model.10.cv1.conv,,,,,,,,,
1,model.13.cv2.conv,feasible,,256,248,8,0.11759746192547027,9452592,10.7842368,0.014822399999999902,0.001372564010020394,7.933766591474461
1,model.13.m.0.cv1.conv,feasible,,64,56,8,0.46857728314353153,9440304,10.7695424,0.029516799999999677,0.0027332751356710094,15.874935058798266
1,model.16.cv2.conv,feasible,,128,120,8,0.1487996220967034,9442264,10.7377728,0.061286400000000185,0.00567516103625032,2.4279386959701164
1,model.16.m.0.cv2.conv,rejected,ValueError: protect_CSP_chunk_width:model.16.cv1.conv,,,,,,,,,
1,model.17.conv,feasible,,128,120,8,0.11588363174814731,9447472,10.7810112,0.018048000000000286,0.0016712566961388786,6.420857255548841
1,model.19.cv2.conv,feasible,,256,248,8,0.04424154154548887,9431512,10.7775936,0.021465600000000862,0.001987728708812031,2.0610437884562787
1,model.19.m.0.cv1.conv,feasible,,64,56,8,0.266423247900093,9440304,10.7695424,0.029516799999999677,0.0027332751356710094,9.026156219512139
1,model.19.m.0.cv2.conv,rejected,ValueError: protect_CSP_chunk_width:model.19.cv1.conv,,,,,,,,,
1,model.20.conv,feasible,,256,248,8,0.049285872275504516,9436208,10.7900416,0.009017599999999959,0.000835035703850906,5.465519902801715
1,model.22.cv2.conv,feasible,,512,504,8,0.01521863833477255,9446872,10.7943072,0.0047519999999998674,0.00044003833222805433,3.2025754071491948
1,model.22.m.0.cv1.conv,feasible,,128,120,8,0.044743326914613135,9417744,10.782656,0.01640320000000095,0.0015189471319873027,2.727719403202457
1,model.22.m.0.cv2.conv,feasible,,128,120,8,0.0031167386641755,9454640,10.7974144,0.001644800000001112,0.00015230956415179797,1.894904343490633
1,model.22.m.0.cv3.conv,rejected,ValueError: protect_CSP_chunk_width:model.22.cv1.conv,,,,,,,,,
1,model.22.m.0.m.0.cv1.conv,feasible,,128,120,8,0.10106834718681057,9440304,10.79168,0.007379200000000807,0.0006833187839178079,13.696382695522484
1,model.22.m.0.m.0.cv2.conv,feasible,,128,120,8,0.07001081353155314,9417744,10.782656,0.01640320000000095,0.0015189471319873027,4.2681192408523385
1,model.22.m.0.m.1.cv1.conv,feasible,,128,120,8,0.07346546119151753,9440304,10.79168,0.007379200000000807,0.0006833187839178079,9.955748752101785
1,model.22.m.0.m.1.cv2.conv,feasible,,128,120,8,0.050230271746841026,9417744,10.782656,0.01640320000000095,0.0015189471319873027,3.0622239408675207
2,model.1.conv,feasible,,64,56,8,0.35252590430900455,9451808,10.7249152,0.07249919999999932,0.006865783271194581,4.862479921281999
2,model.2.cv2.conv,feasible,,128,120,8,0.26775179627293255,9444640,10.7183616,0.07905279999999948,0.0074726509509273065,3.3869995278210805
